,political_review,date
176,Egypt offers condolences to Sudan over military plane crash victims,2021-09-11
177,"Human rights represent universal, integrated values, and must be dealt with comprehensively: Egypt's FM Shoukry",2021-09-11
178,Egypt welcomes formation of new Lebanese government,2021-09-11
179,"Egypt reports 433 new coronavirus cases, 11 deaths on Friday",2021-09-11
180,In Photos: Thousands attend funeral of business tycoon Mahmoud El-Araby in his hometown,2021-09-10
181,Egypt's health minister discusses vaccine cooperation with Moderna representatives ,2021-09-10
182,Egypt to receive Pfizer COVID-19 vaccine in second half of September ,2021-09-10
183,Egypt-Turkey ties could be restored this year if outstanding issues resolved: Egyptian PM,2021-09-10
184,Egypt records highest daily rise of coronavirus cases since mid-June,2021-09-10
185,"Egypt stresses support to all Arab nations amid current challenges, welcomes recent reconciliations",2021-09-09
186,President Sisi pledges support to Egyptian farmers on National Farmers' Day,2021-09-09
187,Ethiopia claims it 'withstood pressures' from Egypt and Sudan to 'internationalise' GERD dispute,2021-09-09
188,"Egypt’s FM urges int'l, regional parties to push Palestinian-Israeli peace process forward ",2021-09-09
189,UN official lauds Egypt's anti-terror experiment,2021-09-09
190,"Egypt reports 399 new coronavirus cases, 13 deaths on Wednesday",2021-09-09
191,"Egypt eyes situation in Afghanistan, eager to find a resolution with Turkey: FM Shoukry to Bloomberg TV",2021-09-08
192,"Egyptian, Sudanese FMs hold talks in Cairo ",2021-09-08
193,2 mln doses of coronavirus vaccine allocated to public servants in Egypt: Health Ministry,2021-09-08
194,FM Shoukry stresses Egypt's constant support to UNRWA's role,2021-09-08
195,"Egypt's FM holds talks with Namibian, South Sudanese counterparts ",2021-09-08
196,"Egypt, Turkey to continue exploratory talks in future",2021-09-08
197,Kuwaiti Emir lauds Egypt’s strategic role in preserving Arab national security,2021-09-08
198,"Egyptian and Russian parliamentary speakers discuss GERD, joint projects",2021-09-08
199,"Humanity faces most difficult challenge, innovative ideas in decision-making needed, says Egypt's president",2021-09-08
200,"Egypt reports 378 new coronavirus cases, 10 deaths on Tuesday",2021-09-08
201,Egypt signs protocol with Biologix/Biogen to provide treatment for SMA children patients ,2021-09-07
202,Gulf security is a ‘red line’: Egypt’s parliament speaker,2021-09-07
203,"Sudanese FM, Egyptian ambassador probe bilateral relations",2021-09-07
204,"What to expect from Egypt, Turkey’s 2nd 'exploratory' round of talks after 8 years of tensions",2021-09-07
205,Egypt's single-day toll of coronavirus cases exceeds 350 for first time in 70 days,2021-09-07
206,Egypt's parliament speaker attends fifth World Conference of Speakers of Parliament,2021-09-07
207,Egyptian parliament's Human Rights Committee discusses fighting illegal migration with Chief of UN IOM,2021-09-07
208,"Egypt FM discusses with Norwegian counterpart bilateral cooperation, Palestinian problem",2021-09-06
209,Egypt may provide coronavirus booster shots before year's end: Health minister,2021-09-06
210,"Egypt urges self-restraint, peaceful means to settle Guinea crisis",2021-09-06
211,"Egypt reports 343 new coronavirus cases, 13 deaths on Sunday",2021-09-06
212,Egypt offers its condolences over train-minibus collision in Turkey,2021-09-05
213,"President Sisi congratulates Israeli counterpart for new position, advent of new Jewish year",2021-09-05
214,Egypt sends two aircrafts with humanitarian aid to Sudan: Egyptian Armed Forces ,2021-09-05
215,Arab world facing challenges posed by current global system: Egypt's President Sisi,2021-09-05
216,Egypt condemns terrorist attack on security checkpoint in Iraq,2021-09-05
217,"Egypt receives over 500,000 shots of Johnson & Johnson single-dose vaccine",2021-09-05
218,Egypt's parliamentary speaker to discuss anti-terrorism measures in international conference in Austria,2021-09-05
219,Egypt's President Sisi attends Charity Doors celebration aimed to raise living standards of 5 million citizens,2021-09-05
220,"Egypt reports 331 new coronavirus cases, 10 deaths on Saturday",2021-09-05
221,Sisi asks for 'serious' role by international community to help solve GERD dispute,2021-09-04
222,Egypt’s health minister in Paris to discuss medical cooperation ,2021-09-04
223,Sisi stresses Egypt's solidarity with Cyprus against practices compromising its sovereignty,2021-09-04
224,"Egypt reports 318 new coronavirus cases, 11 deaths on Friday",2021-09-04
225,Egypt keen to provide all forms of support to GNU: Head of Cairo’s mission to Tripoli tells Libyan PM,2021-09-03
226,"INTERVIEW: Egyptian culture is thriving at local, regional and international levels",2021-09-03
227,Egypt offers condolences to US over Hurricane Ida victims,2021-09-03
228,"Egypt reports 303 new coronavirus cases, 12 deaths on Thursday ",2021-09-03
229,"Egyptian, Cypriot military training 'Ptolemy 2021' kicks off",2021-09-02
230,Multinational military exercise ‘Bright Star’ kicks off in Egypt Thursday,2021-09-02
231,Egypt to receive second batch of Johnson & Johnson vaccine on Saturday,2021-09-02
232,Egyptian-Palestinian-Jordanian summit calls for stepping up efforts to revive peace talks,2021-09-02
233,"Trilateral summit between Egypt, Jordan, Palestine kicks off in Cairo",2021-09-02
234,"Egypt reports 291 new coronavirus cases, 7 deaths on Wednesday",2021-09-02
235,All education sector employees to be fully vaccinated against COVID-19 by October: Egypt's health minister,2021-09-01
236,"Egypt, US extend agreement on science, technology cooperation",2021-09-01
237,Egypt to provide Lebanon with coronavirus vaccines after achieving local self-sufficiency: Health minister,2021-09-01
238,Egypt’s PM attends signing ceremony to implement 1st line of Siemens’ cross-country electric express train,2021-09-01
239,"Egypt reports 279 new coronavirus cases, 9 deaths on Tuesday",2021-09-01
240,"Egypt, S. Korea probe military cooperation",2021-08-31
241,Turkey prevents two Muslim Brotherhood members from departure: Sources to Al-Arabiya,2021-08-31
242,"Egypt has modern, integrated infrastructure, Sisi tells S. Korean Minister of National Defense",2021-08-31
243,Egyptian-Qatari follow-up committee holds new round of consultation in Cairo,2021-08-31
244,Egypt condemns Houthi drone attack on Saudi Abha airport,2021-08-31
245,"Egypt, Turkey to conduct 2nd round of exploratory talks in Ankara in September",2021-08-31
246,"Egypt provided coronavirus vaccines to 350,000 travelers in 2 weeks: Health minister",2021-08-31
247,"Egypt denounces deadly drone, missile attack in south Yemen",2021-08-31
248,"Egypt reports 263 new coronavirus cases, 6 deaths on Monday ",2021-08-31
249,"Judge drops charges against 4 NGOs in 'foreign funding case', brings total to 67 NGOs with charges dropped ",2021-08-30
250,"Egyptian YouTuber Shady Srour, 2 others released from detention pending investigations",2021-08-30
251,"Egypt urges support for Libya's 5+5 military commission to ensure departure of foreign forces, mercenaries",2021-08-30
252,Egypt’s coronavirus vaccine VACSERA plant to serve local and African needs: Health minister,2021-08-30
253,Sisi follows up on implementation of new roads network,2021-08-30
254,Sisi issues decree renewing term of acting head of ACA for one year,2021-08-30
255,"Egypt reports 255 new coronavirus cases, 7 deaths on Sunday",2021-08-30
256,Egypt condoles with DRC for victims of terrorist attack,2021-08-30
257,Egypt's agriculture exports increased by 14% in 2021: Agriculture minister ,2021-08-29
258,Minimum grades required for admission to 'prestigious' public faculties drop for 1st time in decades,2021-08-29
259,ICT’s contribution to Egypt’s GDP expected to double to 5 percent in FY2021/22: Planning minister ,2021-08-29
260,Egypt to issue traveler insurance document to protect Egyptians abroad,2021-08-29
261,"Egypt reports 251 new coronavirus cases, 8 deaths on Saturday",2021-08-29
262,South Korean Minister of National Defense highlights progress in relations with Egypt,2021-08-29
263,Kadhimi: Iraq keen to benefit from Egypt’s experience in building state institutions,2021-08-28
264,Sisi expresses to Macron keenness to benefit from French expertise in Egyptian project to develop countryside,2021-08-28
265,"President Sisi, Emir Tamim agree to continue consultations to boost Egyptian-Qatari relations",2021-08-28
266,"Egypt rejects all foreign interference in Iraq's affairs, illegal aggression on its territories, Sisi says ",2021-08-28
267,Sisi discusses bilateral relations with Iraqi president ahead of Baghdad cooperation conference,2021-08-28
268,"Gulf region’s security closely linked to Egypt's national security, Sisi tells Kuwaiti PM",2021-08-28
269,UN secretary-general hails Egypt's pivotal role on all forums,2021-08-28
270,"Egypt reports 234 new coronavirus cases, 5 deaths on Friday",2021-08-28
271,"Egypt's economy is capable of facing challenges, meeting Egyptians' aspirations: Sisi",2021-08-27
272,Sisi stresses Egypt's support for Sudan over floods,2021-08-27
273,"Egypt reports 221 new coronavirus cases, 10 deaths on Thursday",2021-08-27
274,"Iraq keen on fostering cooperation with Egypt, Jordan in various fields: PM",2021-08-27
275,"Egypt condemns Kabul blasts, affirms solidarity against terrorism",2021-08-26
276,Ethiopia deems Tunisia’s GERD proposal to the UNSC ‘inappropriate’,2021-08-26
277,Travelers who received vaccines not approved by destination countries should register for re-vaccination: Egypt ,2021-08-26
278,Egyptian expats do not hesitate to serve their homeland: Emigration minister,2021-08-26
279,Sisi urges cultivating new generation of enlightened religious imams,2021-08-26
280,Arab countries have tools to pressure Ethiopia on its intransigence in GERD dispute: Arab Parliament speaker,2021-08-26
281,1.3 million of Egypt’s administrative employees vaccinated against coronavirus: Health minister,2021-08-26
282,"Cairo, Tripoli discuss preparations for re-opening Egyptian embassy in Tripoli, consulate in Benghazi",2021-08-26
283,"Sisi follows up on developing Alamein Airport, orders integration with tourism development",2021-08-26
284,Fossils of 43-million-year-old semiaquatic whale discovered in Egypt ,2021-08-26
285,Egypt's single-day toll of coronavirus cases exceeds 200 for first time in 55 days,2021-08-26
286,Egypt’s Arab Contractors awarded project to build 150km road in DR Congo,2021-08-25
287,Egypt releases 1 million Sinovac/VACSERA doses for public distribution,2021-08-25
288,"Egypt reports 194 new coronavirus cases, 7 deaths on Tuesday",2021-08-25
289,Sisi follows up on road development projects in Greater Cairo,2021-08-24
290,"Egypt, Burundi assert keenness to boost bilateral relations",2021-08-24
291,"Saudi Arabia lifts travel restrictions for fully-vaccinated Egyptian expats, other banned nationalities ",2021-08-24
292,Shoukry expresses Egypt's solidarity with Sudan in wake of floods,2021-08-24
293,"Egypt, Sierra Leon sign agreements to enhance political, cultural cooperation",2021-08-24
294,"Egyptian, French air forces conduct joint military drill",2021-08-24
295,New vehicle parking regulations under assessment: Egypt's local development minister,2021-08-24
296,"Egypt reports 189 new coronavirus cases, 5 deaths on Monday ",2021-08-24
297,Egyptians in Afghanistan safely return home upon presidential directives ,2021-08-24
298,28 more countries to benefit from Egypt's tourist e-visa service,2021-08-23
299,"All teachers, staff will be allowed into schools only after getting Covid-19 vaccine",2021-08-23
300,INTERVIEW: Serbia values Egypt as founder of Non-Aligned Movement and a strong economic partner: FM Selakovic ,2021-08-23
301,Egypt approves emergency use of locally manufactured Sinovac/VACSERA COVID-19 vaccine,2021-08-23
302,State ready to fund art that raises awareness about challenges facing Egypt: President Sisi,2021-08-23
303,Serbian FM visits NMEC in Fustat,2021-08-23
304,Egypt condoles with Sudan over floods victims,2021-08-23
305,Sisi directs government to develop Egypt's mining sector,2021-08-23
306,Egypt detected its first case of the Delta Plus variant in mid-July: Health minister,2021-08-23
307,Spain keen to foster cooperation prospects with Egypt: Spanish PM,2021-08-23
308,"Egypt reports 184 new coronavirus cases, 8 deaths on Sunday",2021-08-23
309,"Serbia keen to continue cooperation with Egypt against challenges facing Mediterranean states, FM tells Sisi",2021-08-22
310,Egypt to release locally-made coronavirus vaccine soon; production up to 18.5 million doses monthly,2021-08-22
311,"Egypt to establish 1st specialized maternity, children’s hospital in Djibouti in September: Health minister",2021-08-22
312,Egypt's defence minister leaves for Moscow to attend 7th joint military committee meeting,2021-08-22
313,"Egypt reports 173 new coronavirus cases, 9 deaths on Saturday",2021-08-22
314,Coronavirus vaccination to be mandatory for everyone over 18 in Egypt’s education sector: Cabinet,2021-08-21
315,Sisi urges development of Toshka’s agricultural research centre,2021-08-21
316,Egypt's leftist Tagammu Party calls for national dialogue over bread subsidies,2021-08-21
317,Egypt reiterates condemnation of terrorism on 'terror victims remembrance day',2021-08-21
318,Egypt tests Chinese electric vehicles E70 on streets ahead of local production,2021-08-21
319,"60 flights weekly from Russia to Hurghada, Sharm El-Sheikh as of 27 August",2021-08-21
320,"Al-Ahram to organize international ‘Gouter’ event to blend civilizations, cultures on 25 September",2021-08-21
321,"Egypt's transport minister, Spanish ambassador inspect new railway signals system on Cairo-Alex line",2021-08-21
322,Egyptian Space Agency: Launching 4 satellites in 2022,2021-08-21
323,Egypt's health ministry announces new regulations on coronavirus vaccination ,2021-08-21
324,"Egypt reports 164 new coronavirus cases, 7 deaths on Friday ",2021-08-21
325,"Five killed, two injured in Damanhur building collapse",2021-08-20
326,Ever Given vessel crosses Suez Canal successfully: Authority ,2021-08-20
327,"Egypt reports 131 new coronavirus cases, 9 deaths on Thursday ",2021-08-20
328,"Egypt condoles Niger, Burkina Faso over attacks on their borders",2021-08-19
329,Sisi issues directives to press ahead with maritime transport development efforts,2021-08-19
330,Egypt’s 2021/22 school year to start normally with in-person attendance: Education minister ,2021-08-19
331,Sisi discusses maritime industry with CEO of Germany's Lürssen company ,2021-08-19
332,Ever Given to cross Suez Canal for the first time since blocking the waterway in March,2021-08-19
333,"Sisi discusses situation in Afghanistan, bilateral relations with Iraqi PM",2021-08-19
334,In Photos: New Republic Youth Federation invites Egyptian youths to donate blood plasma,2021-08-19
335,"INTERVIEW: President Sisi provides all forms of support to ensure success of tourism, antiquities projects: Tourism minister",2021-08-19
336,Sisi instructs applying international safety standards at El-Dabaa nuclear power plant,2021-08-19
337,"Sisi orders expanding mobile, rapid documentation services",2021-08-19
338,"Egypt reports 123 new coronavirus cases, 8 deaths on Wednesday ",2021-08-19
339,"Kuwait resumes commercial flights with six countries, including Egypt ",2021-08-18
340,Sisi approves amendments increasing penalties for sexual harassment ,2021-08-18
341,7 September deadline for school staffers to register for COVID vaccine: Education ministry,2021-08-18
342,Egypt's General Intelligence Service chief meets with Palestinian President Mahmoud Abbas,2021-08-18
343,Sisi ratifies Egypt’s sovereign sukuk law,2021-08-18
344,President Sisi ratifies amendments to law on Supreme Constitutional Court,2021-08-18
345,"Fourth wave of coronavirus expected in Egypt around late-September, early-October: Health ministry",2021-08-18
